Turno;Movimiento Markov;Mi Movimiento;Resultados;Sube/Baja;
1;S;P;lose;-1;
2;S;R;win;1;
3;R;P;win;1;SS
4;R;P;win;1;SR
5;P;R;lose;-1;RR
6;R;S;lose;-1;RP
7;R;P;win;1;PR
8;P;R;lose;-1;RR
9;S;R;win;1;RP
10;R;P;win;1;PS
11;R;S;lose;-1;SR
12;P;S;win;1;RR
13;P;P;lose;-1;RP
14;S;P;lose;-1;PP
15;P;S;win;1;PS
16;P;S;win;1;SP
17;S;R;win;1;PP
18;S;P;lose;-1;PS
19;R;P;win;1;SS
20;R;R;lose;-1;SR
21;P;S;win;1;RR
22;P;S;win;1;RP
23;S;P;lose;-1;PP
24;S;P;lose;-1;PS
25;R;R;lose;-1;SS
26;R;P;win;1;SR
27;P;P;lose;-1;RR
28;P;R;lose;-1;RP
29;S;S;lose;-1;PP
30;S;S;lose;-1;PS
31;R;P;win;1;SS
32;R;P;win;1;SR
33;P;R;lose;-1;RR
34;R;P;win;1;RP
35;R;R;lose;-1;PR
;;;;;
;;;;;
